Category: Arts & Entertainment

Day,Geo: Canada
2012-01-01,78
2012-01-02,73
2012-01-03,68
2012-01-04,64
2012-01-05,69
2012-01-06,71
2012-01-07,74
2012-01-08,74
2012-01-09,63
2012-01-10,63
2012-01-11,61
2012-01-12,64
2012-01-13,70
2012-01-14,77
2012-01-15,74
2012-01-16,70
2012-01-17,67
2012-01-18,66
2012-01-19,63
2012-01-20,69
2012-01-21,79
2012-01-22,78
2012-01-23,64
2012-01-24,68
2012-01-25,66
2012-01-26,69
2012-01-27,72
2012-01-28,80
2012-01-29,77
2012-01-30,72
2012-01-31,64
2012-02-01,64
2012-02-02,68
2012-02-03,67
2012-02-04,75
2012-02-05,76
2012-02-06,66
2012-02-07,67
2012-02-08,64
2012-02-09,63
2012-02-10,66
2012-02-11,76
2012-02-12,100
2012-02-13,77
2012-02-14,65
2012-02-15,64
2012-02-16,67
2012-02-17,69
2012-02-18,79
2012-02-19,78
2012-02-20,70
2012-02-21,65
2012-02-22,65
2012-02-23,65
2012-02-24,65
2012-02-25,78
2012-02-26,78
2012-02-27,70
2012-02-28,65
2012-02-29,66
2012-03-01,67
2012-03-02,71
2012-03-03,83
2012-03-04,78
2012-03-05,63
2012-03-06,64
2012-03-07,62
2012-03-08,66
2012-03-09,67
2012-03-10,74
2012-03-11,72
2012-03-12,64
2012-03-13,65
2012-03-14,62
2012-03-15,69
2012-03-16,64
2012-03-17,74
2012-03-18,71
2012-03-19,64
2012-03-20,61
2012-03-21,61
2012-03-22,63
2012-03-23,67
2012-03-24,78
2012-03-25,74
2012-03-26,67
2012-03-27,65
2012-03-28,66
2012-03-29,64
2012-03-30,70
2012-03-31,74
2012-04-01,75
2012-04-02,65
2012-04-03,65
2012-04-04,65
2012-04-05,70
2012-04-06,73
2012-04-07,73
2012-04-08,75
2012-04-09,66
2012-04-10,60
2012-04-11,66
2012-04-12,62
2012-04-13,65
2012-04-14,76
2012-04-15,76
2012-04-16,68
2012-04-17,65
2012-04-18,65
2012-04-19,63
2012-04-20,65
2012-04-21,75
2012-04-22,70
2012-04-23,64
2012-04-24,62
2012-04-25,66
2012-04-26,64
2012-04-27,69
2012-04-28,73
2012-04-29,72
2012-04-30,67
2012-05-01,69
2012-05-02,63
2012-05-03,62
2012-05-04,66
2012-05-05,71
2012-05-06,69
2012-05-07,60
2012-05-08,63
2012-05-09,64
2012-05-10,63
2012-05-11,62
2012-05-12,67
2012-05-13,69
2012-05-14,58
2012-05-15,57
2012-05-16,60
2012-05-17,63
2012-05-18,63
2012-05-19,61
2012-05-20,62
2012-05-21,56
2012-05-22,62
2012-05-23,62
2012-05-24,62
2012-05-25,65
2012-05-26,68
2012-05-27,69
2012-05-28,64
2012-05-29,60
2012-05-30,60
2012-05-31,61
2012-06-01,66
2012-06-02,72
2012-06-03,72
2012-06-04,63
2012-06-05,65
2012-06-06,60
2012-06-07,63
2012-06-08,63
2012-06-09,68
2012-06-10,68
2012-06-11,60
2012-06-12,60
2012-06-13,60
2012-06-14,63
2012-06-15,61
2012-06-16,69
2012-06-17,68
2012-06-18,61
2012-06-19,63
2012-06-20,58
2012-06-21,58
2012-06-22,65
2012-06-23,70
2012-06-24,65
2012-06-25,61
2012-06-26,61
2012-06-27,64
2012-06-28,63
2012-06-29,66
2012-06-30,66
2012-07-01,61
2012-07-02,53
2012-07-03,60
2012-07-04,64
2012-07-05,62
2012-07-06,60
2012-07-07,64
2012-07-08,66
2012-07-09,57
2012-07-10,61
2012-07-11,60
2012-07-12,59
2012-07-13,61
2012-07-14,63
2012-07-15,68
2012-07-16,63
2012-07-17,59
2012-07-18,62
2012-07-19,62
2012-07-20,63
2012-07-21,68
2012-07-22,69
2012-07-23,64
2012-07-24,62
2012-07-25,62
2012-07-26,65
2012-07-27,64
2012-07-28,65
2012-07-29,62
2012-07-30,57
2012-07-31,57
2012-08-01,57
